id	sent_nr	sent	manual_anaphoras	non-12-per_anaphoras	has_anaphoras	has_unresolved_ana	has_resolved_ana	sbn_anaphoras	drc_anaphoras
d0350_p58	127	She would soon be found if she tried to hide.	she(?), she(-6)	she(?), she(-6)	TRUE	TRUE	TRUE	[('she', 'female.n.02', '-5', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('she', '27', '30')]]]
d0350_p59	128	The brothers stood up and came down from the platform.			FALSE	FALSE	FALSE	[]	[]
d0350_p60	129	Anthony was approached, just as he had predicted, in the park.	he(-5)	he(-5)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Anthony')]	[[[('Anthony', '0', '7'), ('he', '32', '34')], [('was', '8', '11'), ('predicted', '39', '48')]]]
d0350_p61	130	Despite what Frank had told her Ellen thanked the young soldier.	her(+1)	her(+1)	TRUE	FALSE	TRUE	[]	[]
d0350_p62	131	He called earlier and I already arranged to go swimming tomorrow.	he(?), I(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('called', '3', '9'), ('arranged', '32', '40')]]]
d0350_p63	132	He drove his truck home and walked down to the village.	he(?), his(-2)	he(?), his(-2)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '9', '12')], [('drove', '3', '8'), ('walked', '28', '34')]]]
d0350_p64	133	He held his mother tight and she cried into his chest.	he(?), his(-2), she(-3), his(-7)	he(?), his(-2), she(-3), his(-7)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('she', 'female.n.02', '-3', 'person.n.01', 'mother'), ('his', 'male.n.02', '-10', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '8', '11')], [('He', '0', '2'), ('his', '8', '11'), ('his', '44', '47')], [('held', '3', '7'), ('cried', '33', '38')], [('his', '8', '11'), ('she', '29', '32')]]]
d0350_p65	134	He went to the door and walked out of the room.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('went', '3', '7'), ('walked', '24', '30')]]]
d0350_p66	135	His helmet was lost but he could still do some damage.	his(?), he(-5)	his(?), he(-5)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-3', 'helmet.n.01', 'helmet')]	[[[('His', '0', '3'), ('he', '24', '26')]]]
d0350_p67	136	Ken just hoped he wasn't taking his temper out on Chris.	he(-3), his(-3)	he(-3), his(-3)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Ken'), ('his', 'male.n.02', '-7', 'male.n.02', 'Ken')]	[[[('Ken', '0', '3'), ('he', '15', '17'), ('his', '32', '35')], [('hoped', '9', '14'), ('was', '18', '21')]]]
d0350_p68	137	Lawrence rubbed the back of his neck and hung his head.	his(-5), his(-4)	his(-5), his(-4)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'Lawrence'), ('his', 'male.n.02', '-8', 'male.n.02', 'Lawrence')]	[[[('rubbed', '9', '15'), ('hung', '41', '45')], [('his', '46', '49'), ('his', '28', '31')], [('his', '46', '49'), ('Lawrence', '0', '8'), ('his', '28', '31')]]]
d0350_p69	138	Lewis sat down and Lucy laid her hand on his cheek.	her(-2), his(-9)	her(-2), his(-9)	TRUE	FALSE	TRUE	[('her', 'female.n.02', '-3', 'female.n.02', 'Lucy'), ('his', 'male.n.02', '-8', 'male.n.02', 'Lewis')]	[[[('Lewis', '0', '5'), ('his', '41', '44')], [('sat', '6', '9'), ('laid', '24', '28')], [('Lucy', '19', '23'), ('her', '29', '32')]]]
d0350_p70	139	Matthew stood against the wall with his hands behind his back.	his(-6), his(-3)	his(-6), his(-3)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-5', 'male.n.02', 'Matthew'), ('his', 'male.n.02', '-8', 'male.n.02', 'Matthew')]	[[[('his', '53', '56'), ('his', '36', '39')], [('his', '53', '56'), ('Matthew', '0', '7'), ('his', '36', '39')]]]
d0350_p71	140	Run along home now and bring us some men to kill.	us(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p72	141	She just kept telling herself he had to learn a lesson.	she(?), herself(-4), he(?)	she(?), herself(-4), he(?)	TRUE	TRUE	TRUE	[('herself', 'female.n.02', '-4', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('herself', '22', '29')]]]
d0350_p73	142	She wound up talking to Barry about her time in India.	she(?), her(-7)	she(?), her(-7)	TRUE	TRUE	TRUE	[('her', 'female.n.02', '-5', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('her', '36', '39')]]]
d0350_p74	143	The gate was double, one huge mass of wood following another.			FALSE	FALSE	FALSE	[]	[]
d0350_p75	144	The gathered villagers took a step back, almost as one man.			FALSE	FALSE	FALSE	[]	[]
d0350_p76	145	We shall arrive properly or you will never live this down.	we(?), you(?), this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0350_p77	146	While they sat drinking their tea, Mick dug them a trench.	they(?), their(-3), them(-4)	they(?), their(-3), them(-4)	TRUE	TRUE	TRUE	[]	[[[('they', '6', '10'), ('them', '44', '48')], [('sat', '11', '14'), ('dug', '40', '43')]]]
d0350_p78	147	You know better than to talk to your mother like that.	you(?), your(-7), that{dem}(?)	that{dem}(?)	FALSE	FALSE	FALSE	[]	[]
d0350_p79	148	You know that I will do whatever you ask of me.	you(?), I(?), you(-7), me(-7)		FALSE	FALSE	FALSE	[]	[[[('know', '4', '8'), ('ask', '37', '40')]]]
d0350_p80	149	You shouldn't have been racing my truck in the first place.	you(?), my(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p81	150	A smile came to his lips as he thought of an idea.	his(?), he(-3)	his(?), he(-3)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-3', 'male.n.02', 'his')]	[[[('came', '8', '12'), ('thought', '31', '38')], [('his', '16', '19'), ('he', '28', '30')]]]
d0350_p82	151	All last week there was a white van parked across the street.			FALSE	FALSE	FALSE	[]	[]
d0350_p83	152	Finally Maria sat down with a cup of tea and a sandwich.			FALSE	FALSE	FALSE	[]	[]
d0350_p84	154	He didn't seem to mind that she was screaming in his ear.	he(?), she(?), his(-10)	he(?), she(?), his(-10)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-7', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '49', '52')], [('did', '3', '6'), ('was', '32', '35')]]]
d0350_p85	155	He drank too much at times and washed too little at times.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('drank', '3', '8'), ('washed', '31', '37')]]]
d0350_p86	156	He folded his arms across his chest and put out his lip.	he(?), his(-2), his(-3), his(-5)	he(?), his(-2), his(-3), his(-5)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('his', 'male.n.02', '-5', 'male.n.02', 'He'), ('his', 'male.n.02', '-9', 'male.n.02', 'He')]	[[[('folded', '3', '9'), ('put', '40', '43')], [('his', '48', '51'), ('his', '26', '29'), ('He', '0', '2'), ('his', '10', '13')]]]
d0350_p87	157	He had another shock when they told him he was moving cells.	he(?), they(?), him(-7), he(-1)	he(?), they(?), him(-7), he(-1)	TRUE	TRUE	TRUE	[('him', 'male.n.02', '-8', 'male.n.02', 'He'), ('he', 'male.n.02', '-9', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('him', '36', '39'), ('he', '40', '42')], [('had', '3', '6'), ('told', '31', '35'), ('was', '43', '46')]]]
d0350_p88	158	He put his hands in his pockets and leaned against the truck.	he(?), his(-2), his(-3)	he(?), his(-2), his(-3)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('his', 'male.n.02', '-5', 'male.n.02', 'He')]	[[[('put', '3', '6'), ('leaned', '36', '42')], [('his', '20', '23'), ('He', '0', '2'), ('his', '7', '10')]]]
d0350_p89	159	He was built with muscle and liked to throw his weight around.	he(?), his(-9)	he(?), his(-9)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-7', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('his', '44', '47')], [('was', '3', '6'), ('liked', '29', '34')]]]
d0350_p91	160	I am trying, old man, but I would rather kill the ship.	I(?), I(-6)		FALSE	FALSE	FALSE	[]	[]
d0350_p92	161	I shall have a victory and I want it to be remembered.	I(?), I(-6), it(-4)	it(-4)	TRUE	TRUE	TRUE	[('it', 'entity.n.01', '-4', 'victory.n.01', 'victory')]	[[[('a', '13', '14'), ('it', '34', '36')]]]
d0350_p93	162	In the morning Mickey stood straight with his hand behind his back.	his(-4), his(-3)	his(-4), his(-3)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'Mickey'), ('his', 'male.n.02', '-7', 'male.n.02', 'Mickey')]	[[[('In', '0', '2'), ('stood', '22', '27')], [('the', '3', '6'), ('stood', '22', '27')], [('his', '58', '61'), ('Mickey', '15', '21'), ('his', '42', '45')]]]
d0350_p94	163	In the morning at breakfast Mike smiled at the letter he received.	he(-5)	he(-5)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Mike')]	[[[('the', '3', '6'), ('smiled', '33', '39')], [('the', '3', '6'), ('smiled', '33', '39'), ('received', '57', '65')], [('Mike', '28', '32'), ('he', '54', '56')], [('smiled', '33', '39'), ('received', '57', '65')]]]
d0350_p95	164	It had been two weeks since Philip had been sent to prison.	it(?)	it(?)	TRUE	TRUE	FALSE	[]	[[[('been', '7', '11'), ('been', '39', '43')]]]
d0350_p96	165	It is not the most fragrant of places but we make do.	it(?), we(?)	it(?)	TRUE	TRUE	FALSE	--no PMB--	--no PMB--
d0350_p97	166	James walked in to wake Samuel at four thirty in the morning.			FALSE	FALSE	FALSE	[]	[]
d0350_p98	169	Let us give battle to these foreign snakes once and for all.	us(?)		FALSE	FALSE	FALSE	[]	[]
d0350_p99	170	Tommy came out of the staff room toilet looking a little pale.			FALSE	FALSE	FALSE	[]	[]
d0351_p00	172	Michael knew they never hit him and that was half the problem.	they(?), him(-5), that{dem}(-3)	they(?), him(-5), that{dem}(-3)	TRUE	TRUE	TRUE	[('him', 'male.n.02', '-6', 'male.n.02', 'Michael')]	[[[('Michael', '0', '7'), ('him', '28', '31')]]]
d0351_p01	173	Alan told Jason he would just sit outside to have his lunch.	he(-3/-1), his(-7)	he(-3/-1), his(-7)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Alan'), ('his', 'male.n.02', '-9', 'male.n.02', 'Alan')]	[[[('Alan', '0', '4'), ('he', '16', '18'), ('his', '50', '53')], [('he', '16', '18'), ('his', '50', '53')]]]
d0351_p02	174	Now the man is coming who will give it back to me.	it(?), me(?)	it(?)	TRUE	TRUE	FALSE	[]	[[[('Now', '0', '3'), ('is', '12', '14')]]]
d0351_p03	175	She threatened to leave before and this time she just had enough.	she(?), this{dem}(?), she(-8)	she(?), this{dem}(?), she(-8)	TRUE	TRUE	TRUE	[('she', 'female.n.02', '-5', 'female.n.02', 'She')]	[[[('She', '0', '3'), ('she', '45', '48')], [('threatened', '4', '14'), ('this', '35', '39'), ('had', '54', '57')], [('threatened', '4', '14'), ('had', '54', '57')], [('this', '35', '39'), ('had', '54', '57')]]]
d0351_p04	176	The first knife caught in her skirt and she shook it free.	her(?), she(-3), it(-8)	her(?), she(-3), it(-8)	TRUE	TRUE	TRUE	[('she', 'female.n.02', '-1', 'skirt.n.01', 'skirt'), ('it', 'entity.n.01', '-8', 'knife.n.01', 'knife')]	[[[('The', '0', '3'), ('it', '50', '52')], [('caught', '16', '22'), ('shook', '44', '49')], [('her', '26', '29'), ('she', '40', '43')]]]
d0351_p05	177	The last thing Alex felt like doing after work was more work.			FALSE	FALSE	FALSE	[]	[]
d0351_p06	178	The truck was an older version of the ones the others drove.			FALSE	FALSE	FALSE	[]	[]
d0351_p07	179	They stared at the black wall and now this offered no comfort.	they(?), this{dem}(-7)	they(?), this{dem}(-7)	TRUE	TRUE	TRUE	[]	[[[('stared', '5', '11'), ('offered', '43', '50')]]]
d0351_p08	181	We should talk about the things people talk about on first dates.	we(?)		FALSE	FALSE	FALSE	[]	[]
d0351_p09	182	Why don't you tell me what happened on Saturday, step by step.	you(?), me(?)		FALSE	FALSE	FALSE	[]	[]
d0351_p10	183	Emma put her mug of tea down on the table with a bang.	her(-2)	her(-2)	TRUE	FALSE	TRUE	[('her', 'female.n.02', '-3', 'female.n.02', 'Emma')]	[[[('Emma', '0', '4'), ('her', '9', '12')]]]
d0351_p11	185	Bruce is looking for someone to take the spare room in his flat.	his(-11)	his(-11)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-7', 'female.n.02', 'Bruce')]	[]
d0351_p12	186	From the moment we leave this spot be very careful what you say.	we(?), this{dem}(?), you(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[[[('leave', '19', '24'), ('be', '35', '37'), ('say', '60', '63')]]]
d0351_p13	187	He knocked on the door so hard that he almost broke it down.	he(?), he(-8), it(-7)	he(?), he(-8), it(-7)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-5', 'male.n.02', 'He'), ('it', 'entity.n.01', '-6', 'door.n.01', 'door')]	[[[('He', '0', '2'), ('he', '36', '38')], [('knocked', '3', '10'), ('broke', '46', '51')], [('the', '14', '17'), ('it', '52', '54')], [('door', '18', '22'), ('it', '52', '54')]]]
d0351_p14	188	He let Donald go and he fell to the floor with a thud.	he(?), he(-5/-3)	he(?), he(-5/-3)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-5', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('he', '21', '23')], [('He', '0', '2'), ('Donald', '7', '13'), ('he', '21', '23')], [('let', '3', '6'), ('fell', '24', '28')]]]
d0351_p15	189	He smiled again and felt like a man and not just the kid.	he(?)	he(?)	TRUE	TRUE	FALSE	[]	[[[('smiled', '3', '9'), ('felt', '20', '24')]]]
d0351_p16	190	He's got the ability to work but he just gets bored too easy.	he(?), he(-7)	he(?), he(-7)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-5', 'male.n.02', 'He')]	[[[('He', '0', '2'), ('he', '33', '35')]]]
d0351_p17	192	I can't see any amount of talk getting you out of this mess.	I(?), you(?), this{dem}(?)	this{dem}(?)	TRUE	TRUE	FALSE	[]	[]
d0351_p18	193	I flung out my hands and they said I had broken my wrists.	I(?), my(-3), they(?), I(-5), my(-3)	they(?)	TRUE	TRUE	FALSE	[]	[[[('flung', '2', '7'), ('said', '30', '34'), ('broken', '41', '47')]]]
d0351_p19	194	I mostly just pick a dry white and drink it to get drunk.	I(?), it(-3)	it(-3)	TRUE	TRUE	TRUE	[('it', 'entity.n.01', '-3', 'white_wine.n.01', 'white')]	[[[('pick', '14', '18'), ('drink', '35', '40')], [('a', '19', '20'), ('it', '41', '43')], [('white', '25', '30'), ('it', '41', '43')]]]
d0351_p20	195	Andy felt good when he got ready to go out on Saturday night.	he(-4)	he(-4)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-4', 'male.n.02', 'Andy')]	[[[('Andy', '0', '4'), ('he', '20', '22')], [('felt', '5', '9'), ('got', '23', '26')]]]
d0351_p21	197	Billy knocked on the door and waited till he was told to enter.	he(-8)	he(-8)	TRUE	FALSE	TRUE	[('he', 'male.n.02', '-8', 'male.n.02', 'Billy')]	[[[('Billy', '0', '5'), ('he', '42', '44')], [('waited', '30', '36'), ('was', '45', '48'), ('knocked', '6', '13'), ('told', '49', '53')], [('was', '45', '48'), ('told', '49', '53')]]]
d0351_p22	198	Bob sat at the entrance to the warehouse and made up a cigarette.			FALSE	FALSE	FALSE	[]	[]
d0351_p24	199	Brian sat down at an empty table and began to eat his breakfast.	his(-11)	his(-11)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-6', 'sit_down.v.01', 'down')]	[[[('Brian', '0', '5'), ('his', '50', '53')]]]
d0351_p25	201	One by one she placed her teeth about their necks and killed them.	she(?), her(-2), their(?), them(-4)	she(?), her(-2), their(?), them(-4)	TRUE	TRUE	TRUE	[('her', 'female.n.02', '-3', 'female.n.02', 'she')]	[[[('she', '11', '14'), ('her', '22', '25')], [('placed', '15', '21'), ('killed', '54', '60')]]]
d0351_p26	202	The shout caught him off guard and he fell back a little way.	him(?), he(-4)	him(?), he(-4)	TRUE	TRUE	TRUE	[('he', 'male.n.02', '-2', 'male.n.02', 'him')]	[[[('caught', '10', '16'), ('fell', '38', '42')], [('him', '17', '20'), ('he', '35', '37')]]]
d0351_p27	209	He rose from his seat and stopped mid way when Joe glared at him.	he(?), his(-3), him(-10)	he(?), his(-3), him(-10)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('him', 'male.n.02', '-12', 'male.n.02', 'He')]	[[[('him', '61', '64'), ('He', '0', '2'), ('his', '13', '16')], [('Joe', '47', '50'), ('him', '61', '64'), ('He', '0', '2'), ('his', '13', '16')], [('glared', '51', '57'), ('rose', '3', '7'), ('stopped', '26', '33')]]]
d0351_p28	210	He sat his son up on the table and laid his belt beside him.	he(?), his(-2), his(-8/-7), him(-3/-10/-11)	he(?), his(-2), his(-8/-7), him(-3/-10/-11)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'He'), ('his', 'male.n.02', '-10', 'male.n.02', 'He'), ('him', 'male.n.02', '-9', 'person.n.01', 'son')]	[[[('sat', '3', '6'), ('laid', '35', '39')], [('his', '7', '10'), ('him', '56', '59')], [('his', '40', '43'), ('He', '0', '2'), ('his', '7', '10')]]]
d0351_p29	211	If I have time at the end I'll fill you in on what happened.	I(?), I(-6), you(?)		FALSE	FALSE	FALSE	[]	[]
d0351_p30	221	Henry washed his hands and sat on the seat in front of the stove.	his(-2)	his(-2)	TRUE	FALSE	TRUE	[('his', 'male.n.02', '-3', 'male.n.02', 'Henry')]	[[[('Henry', '0', '5'), ('his', '13', '16')], [('washed', '6', '12'), ('sat', '27', '30')]]]
d0351_p31	226	The police officer got out of the van and picked up the two cans.			FALSE	FALSE	FALSE	[]	[]
d0351_p32	227	The speaker turned to her with a smile and a bow of his head.	her(?), his(-11)	her(?), his(-11)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-7', 'person.n.01', 'speaker')]	[[[('The', '0', '3'), ('his', '52', '55')]]]
d0351_p33	228	They say he can breathe fire and kill a man with a single word.	they(?), he(?)	they(?), he(?)	TRUE	TRUE	FALSE	[]	[]
d0351_p34	230	He came back to his senses when he heard his dad stand up to him.	he(?), his(-4), he(-3), his(-2), him(-5)	he(?), his(-4), he(-3), his(-2), him(-5)	TRUE	TRUE	TRUE	[('his', 'male.n.02', '-4', 'male.n.02', 'He'), ('he', 'male.n.02', '-6', 'male.n.02', 'He'), ('his', 'male.n.02', '-9', 'male.n.02', 'He'), ('him', 'male.n.02', '-13', 'male.n.02', 'He')]	[[[('came', '3', '7'), ('heard', '35', '40')], [('him', '61', '64'), ('his', '41', '44'), ('he', '32', '34'), ('He', '0', '2'), ('his', '16', '19')]]]
d0351_p35	235	He was already up and dressed and invited us in for a cup of tea.	he(?), us(?)	he(?)	TRUE	TRUE	FALSE	[]	[]
d0351_p36	239	I know Richard drinks a little too much and has a bit of a temper.	I(?)		FALSE	FALSE	FALSE	[]	[[[('know', '2', '6'), ('drinks', '15', '21'), ('has', '44', '47')]]]
d0351_p37	241	If this were a movie instead of a book this would be a good bit.	this{dem}(+7), this{dem}(?)	this{dem}(+7), this{dem}(?)	TRUE	TRUE	TRUE	[]	[]
d0351_p38	246	James was only in the cell for an hour but it felt like a week.	It(-9)	It(-9)	TRUE	FALSE	TRUE	[]	[[[('was', '6', '9'), ('felt', '46', '50')]]]
									
Legend:		Value == TRUE							
		Anaphora detected only in DRC or SBN							